Lon,Lat,Moho,Thickness_sediments,Thickness_UC,Thickness_MC,Thickness_LC,Vp_sediments,Vp_UC,Vp_MC,Vp_LC,Rho_sediments,Rho_UC,Rho_MC,Rho_LC,Rho_crust
111.25,37,38.908107674557,4.2185123720017,21.01904711176,12.734549733369,3.4964953200938,3.8241142682476,6.2171612828267,6.6025645544164,6.8428719411945,2.3682538919008,2.764942531535,2.8592257000307,2.9236246542239,2.7669211142334
111.5,37,38.926552982754,4.1074354977681,21.04016946226,12.725637172771,3.0235040401977,3.3840810574591,6.2244984495554,6.6222647864765,6.8454386752283,2.2986782497103,2.7666342791004,2.8643431451011,2.9243356418377,2.761697922526
111.75,37,39.130934611301,3.9410321001182,21.025803647943,12.591831935057,2.6093932728301,3.000878956893,6.227302630062,6.6350360723481,6.8478796465913,2.2240502866992,2.7672818953229,2.8676761811134,2.9250122444049,2.7557014328713
112,37,39.253684476898,3.8320796173731,20.992755528922,12.437344777292,2.2067663708443,2.5670379043695,6.2331675009355,6.6497411075976,6.8458233807247,2.1135281767393,2.7686382456679,2.8715289738403,2.924442247528,2.746166821089
112.25,37,39.232238781494,3.7769624973776,20.903929557431,12.24646082544,1.8495714515779,2.3397908603803,6.2346358468586,6.6633761577059,6.8435335144071,2.0403633382088,2.7689782232427,2.875115849918,2.9238078640509,2.7389146649484
112.5,37,39.175387742113,3.7276573108772,20.816377519953,12.010099080419,1.4951615244373,2.2516747970071,6.2315439121151,6.6733238460001,6.8496399714801,2.0085380283276,2.7682625089798,2.8777414713203,2.925500454459,2.7345682397776
112.75,37,39.189169846822,3.741258796463,20.70855896151,11.822818435521,1.2716845836507,2.275155415121,6.2280525554706,6.6845164055217,6.8515660150539,2.0172217190646,2.7674551865421,2.8807044926818,2.9260348871415,2.7337289614188
113,37,39.042296822239,3.7393396423539,20.572502780014,11.606815518553,1.1515064799874,2.4119184701949,6.222598686425,6.6973569934335,6.8569557012086,2.064919459377,2.7661958650289,2.8841153036034,2.9275318557548,2.7373893552057
113.25,37,38.616306678406,3.7927884267834,20.417827122942,11.380511042159,1.0372885853494,2.517644049768,6.2159949902668,6.7043052509075,6.8648686710362,2.0986435200408,2.764673982738,2.885966074364,2.9297335412824,2.7380680746737
113.5,37,37.497383121235,3.8609255347742,20.267138635329,11.239214245239,0.99744005600367,2.5531928630453,6.2080074505689,6.7088363135941,6.8735514493759,2.1094098391692,2.762837480526,2.8871749272238,2.9321547283534,2.7365346106413
113.75,37,36.164320789031,3.9307073153779,20.05790868716,11.195536453371,0.97664116443501,2.5082109581794,6.2034892727797,6.7082567838629,6.8810699747141,2.0957394610033,2.7618007402526,2.8870202278338,2.9342557515097,2.7328255481442
114,37,35.272383365457,3.9620660940707,19.959131881679,11.063793472542,0.99161203832388,2.4290145314224,6.1988704372726,6.7033921207667,6.8929637581613,2.0705514075983,2.7607424581536,2.8857226433949,2.9375879224095,2.7280416082436
114.25,37,34.820556407709,4.0465930201474,19.791478453933,11.018758398032,1.0056267596028,2.5563214006792,6.2016870220508,6.700476812409,6.9142097398102,2.110344078842,2.7613876158951,2.8849458683761,2.9435660971865,2.7309980038263
114.5,37,34.860490658128,4.2430807577273,19.34337455537,11.003972148305,1.0367114242812,3.312506620084,6.1988737503699,6.6952200208042,6.9630102666194,2.2859724389472,2.7607432166975,2.8835468128249,2.9574228955048,2.747852388404
114.75,37,35.004374063647,4.4503543289371,18.926982906424,10.777142945126,1.0337887891727,3.7227940085725,6.1742587584417,6.6940965302863,7.0002275101331,2.3532635195633,2.7551298322868,2.8832480713767,2.9681076226307,2.74980064556
115,37,35.015674163694,4.6454325829269,18.563892714556,10.420322759195,1.0184152538097,3.3662001362167,6.1191892912552,6.6960204431628,7.002261269243,2.2955493318549,2.7427324140126,2.8837597063055,2.9686944038953,2.7318317810918
115.25,37,35.002198526243,4.8225014883732,18.228499207576,10.002574070604,0.99349161936263,3.2557283140528,6.1000079908399,6.7001858978,7.0012363815019,2.2755321236954,2.7384663207064,2.8848683898146,2.9683986651259,2.7226156905687
115.5,37,34.974584885869,4.9366028295345,18.056687687435,9.7619641666542,0.99214385015444,3.1870114531152,6.0988884374424,6.6996448151952,7.0066816728963,2.262431815282,2.7382181502095,2.8847243014076,2.9699708186827,2.7178121807362
115.75,37,34.837768628022,4.9831429566483,18.02431666764,9.8067304241442,0.98024210915981,3.4794881364814,6.0971330702497,6.6937802695402,7.0071690056458,2.3149013450987,2.7378292231038,2.8831639931155,2.9701116255328,2.7243785407105
116,37,34.717375737637,5.0330294838199,18.045396779419,9.9493510828108,0.98035327124479,3.6569536540895,6.0996773971353,6.6756363825847,7.0050717144848,2.3432476340373,2.7383930287706,2.8783529064497,2.9695057702079,2.7275222069187
116.25,37,34.829876399293,5.0766703102375,18.118410348152,10.072458788154,0.97746458723445,3.5127358281739,6.1066952852643,6.6421545094856,7.0034662838719,2.3203809373409,2.7399505892716,2.869539230796,2.9690422173107,2.7224060858564
116.5,37,35.030757116134,5.2205715209123,18.162099291345,10.194133886943,0.98618890369743,3.3157488320239,6.1145945142128,6.6133041387934,7.0039066743493,2.2865586814212,2.7417080503716,2.8620118799449,2.9691693572367,2.7149329775494
116.75,37,34.207304666397,5.4486537927728,18.195247505995,10.387206649348,1.0044120843586,3.0270383836246,6.125289454706,6.6039060326944,6.9899940696186,2.2297228265037,2.7440947714575,2.8595732497616,2.9651596331728,2.7046749023858
117,37,33.199919618265,5.6889496905399,18.135003755426,10.541172980986,1.0400873847876,2.5939921663198,6.1273448761541,6.6041490764154,6.9841274328907,2.1214282534628,2.7445544236753,2.8596362318387,2.9634730463881,2.6851241459825
117.25,37,32.899343919917,5.8346808872861,17.954450523881,10.533621579451,1.1686301456687,2.4019001764527,6.1120112148248,6.6043091696772,7.0011686876741,2.0615861135152,2.7411328038702,2.8596777206391,2.9683791342726,2.6720832582041
117.5,37,32.979173381905,5.9393809100577,17.343033614165,10.790538009708,1.6646493947094,3.3319726091729,6.0993593939282,6.6026815788817,7.0009246390394,2.2894766025497,2.7383225356316,2.8592560133334,2.9683087247404,2.7109540706132
117.75,37,32.996182050803,5.9860353795575,16.763137402616,10.968570078596,1.9988754438908,2.8830420486443,6.0978242755188,6.6037752220115,6.9903663819373,2.1972416306495,2.7379823428983,2.8595393534558,2.965266753057,2.6974053429361
